actor_1_name,actor_1_facebook_likes
Lars Mikkelsen,573
Harrison Gilbertson,174
Dee Bradley Baker,668
David Keith,563
Jane Fonda,949
Bjørn Sundquist,35
Jacinda Barrett,579
Mariah Carey,736
Abigail Spencer,1000
Yu-mi Jeong,28
Robert Redford,0
Mary Elizabeth Mastrantonio,638
Katrina Kaif,3000
Padraic Delaney,97
Ranbir Kapoor,964
Peter Ustinov,440
Necati Sasmaz,205
Eleanor Parker,354
Marshall Bell,217
Noah Huntley,133
Jennifer Freeman,389
James Kyson,449
Mackenzie Davis,363
Brian Doyle-Murray,484
Tina Gilton,861
Telly Savalas,803
Nick Wechsler,666
Stephen Collins,452
Alexandra Maria Lara,471
Christopher Nicholas Smith,434
Cameron Monaghan,1000
Faye Dunaway,977
Sean Lennon,61
Alexia Fast,553
Ian Tracey,144
Mitsuo Iwata,6
Stephen McHattie,413
Rachel Ann Mullins,31000
Leehom Wang,163
Celia Imrie,186
Mckenna Grace,502
Spencer Wilding,1000
Scott Takeda,981
Françoise Yip,186
Joely Richardson,584
Molly Parker,611
Eric Johnson,373
Sandrine Kiberlain,71
Akon,262
Saif Ali Khan,532
Max Riemelt,287
George Coe,488
Darren Shahlavi,294
Michael Nouri,225
Sullivan Stapleton,1000
MyAnna Buring,513
Sid Haig,1000
Kimberly Elise,637
Bernard Fox,246
Michael Stuhlbarg,816
Irvin Kershner,883
Jonathan Brandis,761
Indira Varma,729
Roy Billing,116
Michael J. Pollard,206
Melinda Clarke,787
Ezra Miller,3000
Samantha Barks,2000
Nathalie Fay,227
Geoff Stults,756
Lynn Cohen,474
Leonid Yarmolnik,4
Michael Wong,91
Erin Fitzgerald,99
Debi Derryberry,122
Ben Browder,878
Gordon Pinsent,149
Rex Baker,15000
Heike Makatsch,177
Glenn Plummer,240
Lubna Azabal,131
Laura Morante,60
Deborah Mailman,46
John Cothran,27
Rita Moreno,804
Angie Dickinson,754
Greg Germann,435
David Wayne,116
Leon,730
Merab Ninidze,56
Emily Podleski,1000
Florian Lukas,65
Linnea Quigley,431
Maria Pia Calzone,18
Olivia Newton-John,1000
Osama bin Laden,503
Katharine Ross,640
Ed Wynn,382
Lisa Wilcox,321
Tisha Campbell-Martin,413
Sammo Kam-Bo Hung,472
Hugh M. Hefner,373
Francis Capra,937
John Cameron Mitchell,263
Antoni Corone,97
Rachel Alig,397
Chelcie Ross,244
William Holden,682
Lesley-Anne Down,187
Michael Berryman,721
Benoît Magimel,173
James Nesbitt,773
Noam Chomsky,103
Catherine Bell,636
Pruitt Taylor Vince,592
Drew Waters,848
Debbie Harry,391
Yorick van Wageningen,163
Jeanne Moreau,343
Simon Bird,229
Wesley Jonathan,592
Asin,634
Jonathan D. Mellor,37
Kayla Jackson,25
Alice Krige,368
Stephen Macht,113
Jean-Baptiste Maunier,517
Paul Sorvino,636
Alexis Dziena,715
Ruby Dee,782
Jean-Pierre Léaud,232
Philippe Nahon,56
Lindsay Kay Hayward,31
Anupam Kher,397
Kim Shaw,934
Aksel Hennie,286
Russell Tovey,796
Campbell Scott,393
Teresa Wright,208
Abhishek Bachchan,374
Johanna Braddy,581
John Saxon,506
Eugenio Derbez,399
Matt Shively,235
Burt Kwouk,462
Richard Cabral,510
James Lafferty,972
William Schallert,901
Tony Bonner,492
John Beasley,205
Gene Tierney,535
Kane Hodder,935
Maribel Verdú,269
Peter Serafinowicz,605
Jessica Lowndes,1000
Warren Christie,520
Sterling Jerins,155
Vanna Bonta,21000
Gina Lollobrigida,746
Fred Willard,729
Gary Cooper,998
Lara Jill Miller,93
Marie-Josée Croze,150
Robert Shaw,559
Brendan Fehr,847
Fran Drescher,859
Claudia Cardinale,973
Norbert Ferrer,55
Cassandra Peterson,922
Kim Dickens,624
Dana Delany,722
Alia Shawkat,727
Liza Minnelli,740
Andrew Wilson,387
Akshaye Khanna,75
Jeffrey Frost,6
Raymond Burr,311
Judith Anderson,197
Meghan Ory,889
Ocean James,432
Mike Figueroa,343
Glenn Campbell,46
Luis Tosar,331
Dave Legeno,570
Teri Polo,708
James Frain,1000
David Huddleston,1000
David Raizor,784
Mikal Vega,741
Julia Jentsch,61
Udo Kier,595
Katy Mixon,982
Alex Rocco,968
Bill Johnson,237
Maria Conchita Alonso,571
Bhama,5
Keith Carradine,584
Sara Forestier,74
William Kircher,109
Brooke Shields,1000
Royal Dano,232
Dan Fogler,562
Dana Andrews,188
Mía Maestro,341
Alex Kendrick,589
Jaime Camil,274
Jan Decleir,25
Rich Pecci,1000
Nicolas Giraud,24
Simon Yam,155
Oksana Akinshina,129
Jimmy Shergill,327
Katherine McNamara,19000
Sid Caesar,898
Nimrat Kaur,85
Fabian Bolin,309
Vidya Balan,464
Yangzom Brauen,29
Art Hindle,110
Julian Richings,648
Judith O'Dea,125
Gloria Grahame,232
Molly C. Quinn,707
Austin Pendleton,597
Meg Foster,355
Marlee Matlin,847
Ellar Coltrane,230
Angell Conwell,522
Montgomery Clift,862
Geraldine Chaplin,382
Ashley Rickards,986
Roscoe Lee Browne,204
Michael Wincott,721
Anna Gunn,1000
Stephanie Leonidas,420
Collin Alfredo St. Dic,48
Kylie Minogue,690
Peter McNamara,419
Lauren Ambrose,945
Hector Kotsifakis,623
Noah Emmerich,617
Anna Friel,736
Rachel Griffiths,578
Connor Paolo,530
Doug Brochu,254
Ed Speleers,762
Saad Siddiqui,223
Jean Harlow,431
Lily Rabe,763
Robin McLeavy,399
Kristen Quintrall,166
Eric Mabius,637
Rachel Hendrix,544
Hattie McDaniel,503
Tom Cullen,507
Keenan Wynn,277
Kayvan Novak,414
Fernanda Montenegro,119
Gladys Cooper,89
Alice Olivia Clarke,117
Brenda Vaccaro,183
Peter Graves,628
Ta'Rhonda Jones,912
Slim Pickens,575
John Forsythe,255
Colleen Dewhurst,157
Bernard Cribbins,195
Joe Estevez,625
John Mahoney,385
Ricardo Darín,827
Gideon Emery,430
Ted Raimi,634
Wanda Sykes,560
Elpidia Carrillo,174
Otto Jespersen,29
Diahann Carroll,426
Jane Goodall,21
Chris Brochu,795
Murray Bartlett,141
Corbin Bleu,632
Thomas Bo Larsen,74
Armando Riesco,625
Roddy McDowall,595
François Bégaudeau,15
Lee Marvin,756
Catalina Sandino Moreno,280
Honor Blackman,387
Sarah Gadon,691
Donna Reed,488
Sprague Grayden,438
Clu Gulager,426
Rhys Wakefield,942
Danielle Kotch,1000
Nancy O'Dell,71
Burl Ives,253
Linda Harrison,220
Veronica Taylor,88
Ed Lauter,897
Fred MacMurray,516
Tamara Toumanova,18
Common,989
Shirley Jones,556
Maximilian Schell,877
Matthew Senreich,11
Seamus Davey-Fitzpatrick,140
John Astin,641
Angus Scrimm,674
John Abraham,1000
Callie Thorne,472
Peter Ostrum,240
Kristy Swanson,578
Greta Gerwig,962
Eddie Griffin,489
Robyn Lively,439
Kevin Pollak,574
William Morgan Sheppard,702
Michael Gross,536
Susan Hampshire,40
Alicja Bachleda,289
Johnny Pacar,1000
Matt Cohen,487
Neil Hopkins,231
Tom Everett Scott,433
John Savage,652
French Stewart,319
Everett McGill,201
Ann-Margret,931
Anthony L. Fernandez,640
Dyan Cannon,267
Olivia Rose Keegan,216
Greg Crowe,875
Cécile De France,447
Maeve Dermody,130
Isaac Hayes,275
Nehemiah Persoff,105
Margaret Hamilton,695
Megan Park,569
Teri Garr,481
Bhavkhandan Singh Rakhra,258
Iben Hjejle,122
Rijk de Gooyer,20
Spencer Tracy,760
Judie Aronson,158
Joanna Kulig,88
Rupert Graves,443
Gerry Lopez,52
Karra Elejalde,123
Jack Kao,11
Brianna Brown,331
Joe Cross,65
Essence Atkins,713
Barack Obama,871
Tom Atkins,381
Patricia Neal,617
David Jason Perez,1000
Hanno Pöschl,15
Patrick Huard,50
Joan Chen,643
Satish Kaushik,56
Bill Maher,334
Dustin Lance Black,191
Benno Fürmann,127
Leonor Varela,426
Ashley Scott,794
Anthony 'Citric' Campos,586
Simon Merrells,490
Esther Williams,675
Jossara Jinaro,847
Agnes Moorehead,960
Leopold Stokowski,16
Nicole Smolen,210
Richard Brooker,72
Tiffany Helm,42
Brian Austin Green,676
Jessica Tandy,509
Saeed Jaffrey,114
Rachel Skarsten,371
Myrna Loy,749
Jørgen Langhelle,117
Michael Derek,128
Manuela Velasco,120
Travis Myers,749
Walter Hendrix III,846
James Ransone,412
Phoebe Legere,40
Carroll O'Connor,480
Maika Monroe,314
Vernon Wells,745
James Mason,618
Alicia Goranson,173
Eric Sheffer Stevens,120
Ben Davies,690
Hedy Lamarr,1000
Michel Robin,23
Michael Greyeyes,912
Vernon Dobtcheff,50
Adriana Barraza,85
Nicholas Aaron,21
Tyrone Power,480
Najarra Townsend,538
Vanessa Lengies,804
Henry Silva,251
Kathleen Wilhoite,265
Stephen Colbert,459
Sook-Yin Lee,71
Ari Folman,56
Noah Danby,178
John F. Kennedy,168
Bruce Greenwood,991
Danny Aiello,388
Alanna Ubach,584
Matt Bennett,189
Jess Weixler,386
Jeffrey Falcon,33
Karisma Kapoor,353
Paul Kaye,326
Merritt Wever,529
Brad William Henke,363
Jordi Vilasuso,160
Rapulana Seiphemo,29
Mackenzie Gray,253
Peter McQuinn,121
Daniel Baldwin,413
Alice Cooper,674
Paul Sheehan,473
Steven Weber,685
Rita Hayworth,1000
Mircea Monroe,633
Sunil Narkar,34000
Kate Maberly,416
Jon Mack,924
Buster Keaton,907
Trenton Rostedt,680
Melissa Bolona,11000
Paul McGillion,405
Khalid Abdalla,161
Karl E. Landler,533
Lauren Gottlieb,733
Paul McGill,41
Siobhan Marshall,42
Logan Browning,628
Caleb Landry Jones,463
Damián Alcázar,201
Donna Murphy,553
Hansika Motwani,141
Tshewang Dendup,0
Humphrey Bogart,2000
George Newbern,647
Kimberley Crossman,467
Christian Keyes,761
James Duval,701
Matthew Alan,86
Sarah Butler,635
Ally Walker,349
Nawazuddin Siddiqui,638
Jean Arthur,319
Harry Carey Jr.,281
Shawnee Smith,651
Yasmine Al Massri,227
Ohad Knoller,53
Annabelle Wallis,421
Dustin Ingram,427
Lew Temple,597
William Baldwin,436
Scott Cohen,378
Matthew Ziff,260000
Norman Lloyd,472
Ami Ayalon,0
Beau Bridges,552
Donald Glover,801
Ward G. Smith,393
Paul Guilfoyle,210
Jessy Schram,813
Joel David Moore,936
Paulette Goddard,309
Jay Mohr,563
Brian Lee Franklin,38
Angela Sarafyan,310
Morgana O'Reilly,61
Lee Scott,0
Nicole Muñoz,199
Monica Barladeanu,129
Ashanti,341
Brighton Sharbino,3000
Katrina Law,835
Timothy Hutton,501
Adriana Caselotti,82
Brigitte Bardot,984
Zak Penn,87
Camren Bicondova,756
Jessica Szohr,847
Burgess Meredith,1000
Karl Malden,416
Ulrich Thomsen,280
Long Nguyen,51
James Morrison,210
Elina Abai Kyzy,0
Maury Chaykin,232
Noureen DeWulf,700
Betsy Palmer,309
Ray Milland,287
Vic Mignogna,578
Geoffrey Arend,816
Zuhair Haddad,18000
Ximena Ayala,31
Jerry Mathers,282
Spring Byington,94
Alex Huszar,61
Jason Marsden,1000
Lemmy,268
,
Déborah Révy,34
Nataniel Sánchez,3
Rich Ceraulo,387
Errol Flynn,843
Christie Burke,380
Redd Foxx,586
Seregon O'Dassey,498
Richard Cawthorne,511
Terry Kiser,448
Sarah Murphy-Dyson,14
Sean Cameron Michael,412
Chris Gauthier,434
Iko Uwais,1000
Piero Maggiò,12
Talia Zucker,12
Christopher Abbott,321
Shelley Hennig,707
Ursula Andress,650
Andrew Robinson,266
Benjamin A. Onyango,634
Hiroshi Abe,43
Fernanda Andrade,403
James Drury,356
Billy West,861
James Brown,183
Mick Jagger,543
Juliet Stevenson,202
W. Earl Brown,422
Michael Pollan,37
Gaby Hoffmann,612
Sheryl Crow,130
Kevin Corrigan,778
Sonja Sohn,245
Trey Parker,406
Cheech Marin,844
Shahir Kabaha,20
Steven Yeun,7000
Shiri Appleby,855
Anwar Congo,3
Alex Gibney,141
Pelé,102
Kumar Gaurav,12
Josh Swanson,53
G.W. Krauss,20
Emraan Hashmi,724
Lena Dunham,969
Harvey Fierstein,499
Patrick Renna,590
Yul Vazquez,96
Will Rothhaar,386
Jordana Spiro,262
Nora Zehetner,446
Frances Bay,491
Scott Levy,639
Kenny Johnston,327
Rasheed Naz,7
Ilene Graff,442
Jason Ritter,782
Nicole Randall Johnson,363
Randy Wayne,984
Oliver Reed,694
Russell Hodgkinson,199
Maureen McCormick,458
Álex Angulo,90
Katie Aselton,224
David Oakes,335
Magi Avila,92
Boyd Banks,57
Angelina Armani,677
Jason K. Wixom,214
Justin Baldoni,657
Monique Candelaria,696
Eric Lloyd,775
Kimberly Williams-Paisley,529
Alma Martinez,56
Justin Kirk,945
Anamaria Marinca,131
Odessa Rae,109
Sarah Kazemy,144
Ahna O'Reilly,282
Sam Edwards,16
John Enos III,465
Stana Roumillac,0
James Wolk,938
Gavin MacLeod,284
Lorraine Stanley,418
Tommy O'Reilly,1000
Shahab Hosseini,786
Jo Hartley,49
Allison Dean,159
Victor Rasuk,302
Louise Brooks,426
Norma Aleandro,24
Zachary Knighton,262
Shane Dawson,247
Corbin Allred,214
Taylor Pigeon,134
Scott Helvenston,25
Isaac C. Singleton Jr.,312
Jean-Louis Trintignant,319
Raymond J. Barry,108
Luke Grimes,935
Dichen Lachman,717
William Gates,7
Kevin Scott Richardson,262
Adam LeFevre,80
Laura Fraser,601
Irene Bedard,752
Hill Harper,465
Trey Loney,977
Richard Curtis,628
Leven Rambin,956
Ginger Rogers,610
Heather Donahue,170
Joe Cocker,262
David Zucker,119
Stacy Keach,602
Kendyl Joi,23
Aliou Touré,0
Karen Alexander,0
Russell Wong,595
Paula Garcés,587
Paul McCartney,785
Dario Nozic Serini,0
Kirk Cameron,848
Bhole Baba,0
Frances Bavier,407
Blanchard Ryan,48
Woody Strode,423
Heather Berman,0
Ken Burns,196
Terry Funk,54
Kirby Heyborne,69
Marina Golbahari,30
Rachel Dratch,399
Rachel True,328
Sasha Alexander,980
Edie Falco,659
Monica Calhoun,597
David Mamet,342
Takashi Shimura,304
Tommy Sheppard,14
Monique Gabriela Curnen,239
Haley Ramm,353
Tori Spelling,396
Bo Huang,4
Brian Eno,30
Daston Kalili,2
Carol Channing,387
Vincent Chimato,685
Emma Caulfield,970
Mike Beckingham,358
Shaun Sipos,322
Manny Perez,159
Jennifer Hale,918
Mary Kate Wiles,84
Carrie Bradstreet,466
Elizabeth Streb,0
Mike Stanley,385
Patrick Kilpatrick,488
Lawrence Gilliard Jr.,353
Luis Sanchez,472
John Karyus,907
Jennifer Lafleur,873
Bob Proctor,8
Chris Eigeman,88
Jack E. Curenton,847
Micah Sloat,189
Tony Alva,22
Emily Rios,231
Tony Doupe,361
Greg Ayres,58
Bill Farmer,93
Catriona MacColl,48
Brendon Small,59
Treat Williams,642
Dov Tiefenbach,108
R. Brandon Johnson,169
Liv Ullmann,440
Lillian Gish,436
Walter Koenig,643
Anita Page,77
America Olivo,470
Amos Oz,3
Mark Zupan,15
Michael Dudikoff,615
Carol Block,0
Tom E. Nicholson,196
Jack Warden,359
Claudette Colbert,380
Angeliki Papoulia,47
James Cagney,786
Kimberly J. Brown,409
Simon Abkarian,75
Kevin Howarth,19
Daniel London,52
John Robinson,375
Embeth Davidtz,795
Jean-Paul Belmondo,710
Vera Ngassa,2
Robert John Burke,318
Don Wallace,54
Lalaine,502
Trish Basinger,644
Tatyana Ali,685
Michael Des Barres,156
Rumi Missabu,19
Dreama Walker,601
Aunjanue Ellis,400
Hector Echavarria,466
Parry Shen,94
Nicole Ari Parker,360
Purva Bedi,250
Keri Maletto,569
Charis Michelsen,5
Amir Talai,308
Marshal Hilton,471
Ally Sheedy,793
Samantha Futerman,100
Nolan Gerard Funk,924
Judy Marte,68
Michael Abbott Jr.,35
James Urbaniak,119
Dustin Fitzsimons,349
Eme Ikwuakor,135
Florence Henderson,337
Victoria Jackson,338
Sam Adams,0
Noah Segan,236
Joshua Ray Bell,288
John Gilbert,81
Matthew Emerick,431
Mark Fantasia,814
Brendan Doogie Milewski,2
Dan Futterman,254
Christina Hart,12
Kenneth Tobey,57
Hugh Keays-Byrne,728
Mae West,418
The Dalai Lama,66
Michael Joiner,77000
Devid Striesow,24
William Joseph Elk III,96
Matisyahu,178
Marri Savinar,471
Melanie Papalia,259
Susan Chambers,138
Marina Vlady,27
Hanne Aagesen,0
William Katt,505
Darryl Hunt,2
John Newton,236
Elaine Bromka,178
Paul Hickert,110
Bahare Seddiqi,36
S. Epatha Merkerson,539
Abigail Evans,0
Iulia Ciochina,0
Robin Lord Taylor,574
Charla Cochran,270
Bebe Neuwirth,376
Glen Hansard,200
Marilyn Rising,142
Temple Grandin,58
Alan Brent,498
Joel Moody,52
Peter Robbins,39
Naderev Sano,0
Lisa Ann,502
Ariel Hsing,0
J.D. Williams,196
Christopher Denham,120
Mark Duplass,830
Diane Sorrentino,17
Philippe Leroy,12
Jason Stuart,990
Richard Moll,206
Pfeifer Brown,220
Hal Landon Jr.,195
Stephen Carr,2
Robert Townsend,467
Leon Isaac Kennedy,116
Fay Masterson,126
Kevin P. Farley,143
Jonathan Blow,0
Sheldon Leonard,142
Claire Gordon-Harper,416
Jon Brion,45
Jack McGee,238
Michelle Simone Miller,118
Chemeeka Walker,0
Virginia Leith,24
Ty Parker,267
Justin Gordon,35
Shari Albert,138
Paul Daniel Ayotte,111
Marcello Mastroianni,866
Dan Novy,19
Chris 'Wonder' Schoeck,0
Taliesin Jaffe,26
Jan Haley,695
Paul Schneider,552
Derick Martini,20000
Elissa Dowling,307
Ringo Starr,725
Julianne Gabert,252
Joseph Campanella,32
Andrew Bujalski,26
Nichole Ceballos,5
Don Brooks,0
Stacy Edwards,136
Franky G,93
Tommy Pallotta,5
Tjasa Ferme,313
Kristen Seavey,370
Shannen Fields,51
Ashley Tramonte,630
Robbie Barnes,720
Paul Ogola,147
Zoe Lister-Jones,331
Sean Whalen,407
Divine,462
Maggie Cheung,576
Fereshteh Sadre Orafaiy,5
Patrick O'Donnell,10
Kôji Yakusho,89
Tatiana Suarez-Pico,21
Julianna Pitt,785
Shane Carruth,291
Ian Gamazon,0
Carlos Gallardo,121
Richard Jewell,45
Kerry Bishé,296
Natalie Zea,841
Eva Boehnke,0
John August,86
Rory Kinnear,393
Rob Walker,12
Samantha Morton,632
Pierfrancesco Favino,216
Adam Brown,972
Thomas Kretschmann,919
Helen McCrory,563
Kevin Dunn,581
Temuera Morrison,368
Ewen Bremner,557
Elizabeth Debicki,509
Lester Speight,829
Jack McGraw,150
Melissa Roxburgh,119
Dana Ivey,268
Liam James,468
Kiran Shah,190
Robin Atkin Downes,336
Lara Pulver,854
Rick Aviles,60
Mindy Kaling,767
Alice Englert,525
Kathy Griffin,225
Chris Bauer,638
Daniel Henney,719
Eddie Deezen,726
M.C. Gainey,284
Shin'ya Tsukamoto,106
Omar Benson Miller,418
Emilia Clarke,10000
Shane Rangi,82
Collin Chou,269
Maurice LaMarche,523
Daniel Bernhardt,198
Piper Mackenzie Harris,607
Noah Ringer,756
Jake Weber,551
Cara Delevingne,548
Zach Callison,1000
Kate McKinnon,370
Kamil McFadden,315
María Valverde,893
Elodie Yung,934
Regi Davis,300
Maria Grazia Cucinotta,536
Lee Ingleby,172
Philip Michael Thomas,321
Penelope Wilton,400
Annet Mahendru,411
Matt Jones,523
Henry Rollins,898
Constance Marie,442
Andre Braugher,702
Mackenzie Crook,871
Bryan Brown,284
D.B. Sweeney,558
Fiona Shaw,687
Seth Gabel,574
Rachel Crow,237
Bruce Davison,505
Rachel Ticotin,308
Vladimir Kulich,372
T.J. Thyne,722
Rafe Spall,358
Matt Long,701
Riz Ahmed,365
Alexa Davalos,850
Kick Gurry,107
Domenick Lombardozzi,216
Tao Okamoto,992
Santiago Segura,276
Roger Willie,836
Danny Woodburn,809
Basher Savage,23
Grant Heslov,293
Reg E. Cathey,360
Catherine Tate,392
Dirk Benedict,554
Tim Gunn,113
Roseanne Barr,513
Torey Michael Adkins,929
Moises Arias,635
Jonathan Sadowski,300
Jenifer Lewis,578
Jenette Goldstein,604
Ramon Rodriguez,464
Wendie Malick,452
Ryan Corr,468
Emma Kenney,151
Rene Auberjonois,710
Patrick Muldoon,475
Richard Roxburgh,653
Traylor Howard,294
Benjamin Walker,911
Randy Quaid,695
Sean Huze,537
Venus Schultheis,42
Felicity Huffman,508
Ni Ni,196
Thomas Middleditch,331
Derek Jacobi,520
AJ Michalka,560
Billy Boyd,857
Tod Fennell,419
John Lone,165
Bobb'e J. Thompson,526
Maile Flanagan,256
Harvey Fierstein,500
Jim Varney,802
Joshua Mikel,1000
Rachael Harris,569
George Harris,249
Michael Byrne,117
Anne Heche,643
Christian Camargo,602
Paul Sanchez,410
Teala Dunn,142
Scott Thompson,183
Gabourey Sidibe,906
Gabriel Thomson,35
Tom Noonan,442
Zachery Ty Bryan,227
Rick Worthy,174
Ben Vereen,388
Tchéky Karyo,345
Jason Cope,107
Iván Kamarás,169
Mason Lee,670
Jason Scott Lee,533
Steve Reevis,437
Joseph Sikora,223
Drew Carey,311
Royce Johnson,4
Jodi Benson,570
Henry Czerny,177
Alex McArthur,137
Tom Cavanagh,642
Penn Jillette,243
Alan Young,639
Mika Boorem,496
Nick Chinlund,277
Roxane Duran,21
Jon Foster,274
Tiya Sircar,396
Jenna Elfman,739
Elio Germano,48
Brian Anthony Wilson,674
Val Kilmer,0
Catherine McCormack,307
Currie Graham,172
David Hoffman,94
Khamani Griffin,161
Veronica Cartwright,422
Eric Stonestreet,904
Max Ryan,872
Richard Schiff,506
Ray Romano,590
Peter Dante,427
Elijah Kelley,339
Alan Ford,422
Chi McBride,466
Matt Ryan,560
Kevin Dillon,576
Martin Scorsese,17000
Brent Sexton,130
Paz Vega,964
Brían F. O'Byrne,450
Ben Cross,303
Geoffrey Palmer,103
Bruce Greenwood,982
Kiernan Shipka,552
Bridget Fonda,889
James Pickens Jr.,270
RZA,561
Patrick McGoohan,466
Brian Geraghty,383
Yeardley Smith,440
Jean-Claude Dreyfus,17
Eve,223
Katia Winter,372
Freddy Rodríguez,579
Bridgit Mendler,1000
Jonathan Frakes,906
Jim Parrack,697
Peter Gerety,277
Todd Graff,650
Sarah Gadon,692
David Kelly,588
Brooke Smith,405
Ben Daniels,585
Phill Lewis,229
Shane Hartline,217
Sandrine Holt,324
Brandy Norwood,509
Archie Kao,326
Robert Blake,220
Ashraf Barhom,451
Larry Joe Campbell,919
Abraham Benrubi,562
Simon McBurney,149
Kaitlyn Dever,363
Nonso Anozie,394
Marcus Chong,145
Miko Hughes,968
Aisha Tyler,857
Jean Stapleton,793
Tony Amendola,174
Jack O'Connell,698
Courtney B. Vance,495
Samantha Mathis,517
Jennifer Grey,1000
Adrian Lester,317
Craig Bierko,380
Barney Clark,85
Martin Henderson,580
David Calder,27
Josh Zuckerman,522
Dean Jones,913
Peng Lin,18
Brittany Daniel,862
Elizabeth Perkins,664
Jeffrey DeMunn,745
Tichina Arnold,330
Josh Hamilton,147
Aria Noelle Curzon,263
Patrick Fischler,497
Alicia Witt,976
Kristin Davis,722
Mekia Cox,208
Monique Gabriela Curnen,240
Dyan Cannon,257
Dawn French,229
Harvey Korman,628
Rupert Evans,334
Kathleen Quinlan,552
Kodi Smit-McPhee,884
Brenda Bakke,520
Ned Beatty,467
Brandon Molale,301
Ray Walston,417
David Rasche,219
Paul Adelstein,399
Penelope Ann Miller,344
Cathy Moriarty,394
Nona Gaye,233
Alan Dale,441
Adriano Giannini,102
Joely Richardson,585
Susanna Thompson,265
Wilson Cruz,290
Mike O'Malley,400
Camryn Manheim,329
Mike Dopud,368
Aaron Kwok,107
Clayne Crawford,298
Morgan Fairchild,730
Dylan Minnette,1000
Soleil Moon Frye,558
Malcolm Goodwin,117
Kim Shaw,935
Irene Papas,243
Noureen DeWulf,701
Ashley Scott,795
Siobhan Fallon Hogan,294
Beth Riesgraf,718
Thomas Ian Nicholas,864
Chris Mulkey,535
Fred Rogers,419
Michael Irby,507
Adam Alexi-Malle,860
Don S. Davis,440
Michael Parks,387
Jason Connery,110
Ophelia Lovibond,549
Holt McCallany,273
Jimmy Nail,40
Nicholas Braun,591
Jenna Boyd,518
Terence Bernie Hines,390
Bruce Boxleitner,640
Philip Winchester,579
André Dussollier,52
Shelley Winters,367
Billy Gardell,245
Lenny Venito,62
Kylie Minogue,691
Jessica Simpson,534
Miranda Otto,568
Gerry Becker,27
Amber Rose Revah,135
Jorge Garcia,1000
Chris Miller,50
Ben Mendelsohn,748
Mark Christopher Lawrence,258
Billy Brown,536
Anna-Louise Plowman,131
Gemma Jones,171
Jennifer Esposito,912
Derek Mears,520
Erik Per Sullivan,593
Emily Wickersham,348
Amr Waked,903
James Badge Dale,726
Michael Cudlitz,822
Alycia Debnam-Carey,298
Jon Tenney,289
Virginie Ledoyen,414
Ben Miles,119
Bruce Alexander,7
Rumer Willis,472
Chris Penn,455
Stephen Walters,184
Tim Matheson,559
Chandler Canterbury,329
Harry Connick Jr.,631
Valeria Golino,898
Brittany Curran,512
Donald Watkins,552
David Bailie,40
Lara Flynn Boyle,619
Zoey Deutch,852
Linda Fiorentino,602
Robin Shou,342
Graham McTavish,531
Gilbert Gottfried,560
Guro Nagelhus Schia,35
Dwight Yoakam,324
Fares Fares,254
Douglas Haase,629
Frances O'Connor,575
Gulshan Grover,102
Anatoliy Solonitsyn,29
Bronagh Gallagher,115
Billy Blair,541
Swoosie Kurtz,418
Amy Ryan,423
Pamela Anderson,780
Wendy Raquel Robinson,337
Anthony LaPaglia,577
Polly Walker,530
Enrico Colantoni,724
Eric Jacobson,91
Traci Lords,650
Rick Gonzalez,807
Matt Malloy,108
Tyra Banks,625
Tom Bosley,584
Nick Zano,641
Vincent Kartheiser,845
Shea Whigham,463
Valerie Cruz,216
Natalie Imbruglia,304
T.V. Carpio,117
Bob Gunton,461
Carter Jenkins,701
Adrien Dorval,44
Charlie Yeung,68
Giovanna Mezzogiorno,202
Clotilde Hesme,116
Tim McInnerny,141
Julia Nickson,738
Dickie Jones,48
Rob Brown,370
Lillian Adams,28
Charlie Tahan,268
Clarke Peters,437
Masi Oka,923
William Xifaras,815
Reggie Lee,828
Elton John,442
Jeremy Crutchley,43
Randall Park,392
Youssef Hajdi,152
Lee Evans,312
Mandy Gonzalez,81
William Zabka,641
Annabeth Gish,489
Jeffrey Weissman,869
Scott Elrod,449
Lori Petty,923
Sabrina Revelle,50
Roger Jackson,157
Mary Lynn Rajskub,935
Nadine Velazquez,874
Terry Kinney,363
Powers Boothe,472
Jay O. Sanders,256
Mario Lopez,719
Nick Cannon,593
Margarita Levieva,980
Paul Scheer,190
Dalia Hernández,78
Debra Winger,568
Deneen Tyler,351
Beau Garrett,689
Steve Schirripa,413
José Wilker,47
John Larroquette,450
Nelson Ascencio,61
Tom Virtue,358
Aimee Teegarden,741
Celia Weston,258
Jacqueline MacInnes Wood,682
KaDee Strickland,299
Melissa Altro,21
Shaun Weiss,613
Peter Boyle,595
Thomas Horn,467
Patti D'Arbanville,117
David Fine,1000
Jimmy Smits,941
Valerie Perri,322
Justin Chambers,931
Andrea Frankle,253
Callum Blue,738
Jaleel White,908
Elizabeth Berkley,893
Bob Saget,799
Jeffrey Combs,886
Matt Ross,248
Benedict Wong,372
Lou Saliba,46
Anne Bancroft,754
Aaron Yoo,617
Zan Marolt,3
Kuno Becker,580
Bai Ling,581
Anushka Shetty,133
Brooklynn Proulx,142
Sean Maher,505
Robert Vaughn,542
Phil Hartman,516
Hye-kyo Song,290
Bianca Collins,47
Shirley Knight,285
Ken Marino,543
Dagmara Dominczyk,316
Richard Masur,163
Claudia Stedelin,12
Jeffrey W. Jenkins,18
Ryan Cartwright,476
Maggie Siff,1000
Phylicia Rashad,597
